Deal PermID,Dates: Issue Date,Issuer/Borrower Name Full,"Issue Type
('|')",Transaction Status,Issuer/Borrower Nation,Current Filing Date,Offer Price,"Stock Price 1 Day After Offer
(USD)","Stock Price 1 Week After Offer
(USD)","Stock Price 4 Weeks After Offer
(USD)","Proceeds Amount Incl Overallotment Sold All Markets
(USD, Millions)","Financials: Market Value Before Offer
(USD, Millions)","Financials: Market Value After Offer
(USD, Millions)","Issuer/Borrower Stock Exchange Name
('|')",Security Type,"Offering Technique
('|')",Fees: Gross Spread as Pct of Principal Amount This Market,Domicile Nation Sub Region,Domicile Nation Region,Issuer/Borrower TRBC Economic Sector,Issuer/Borrower TRBC Business Sector,"Book Or Co-Managers
('|')","Target Market
('|')"
154087596956,2022-08-03,Mobiv Acquisition Corp,IPO,Live,United States,2022-07-05,10.00,10.03,10.05,10.03,87.00 ,25.01,112.01,Nasdaq,Units,Negotiated Sale|Firm Commitment,1.50,North America,Americas,Financials,Investment Holding Companies,EF Hutton,United States Of America (North America)
154087431958,2022-07-28,Mobile Global Esports Inc,IPO,Live,United States,2022-07-26,4.00,12.98,6.12,2.47,16.10 ,67.24,74.14,Nasdaq,Common Stock,Firm Commitment|Negotiated Sale,10.00,North America,Americas,Technology,Software & IT Services,WestPark Capital Inc,United States Of America (North America)
154087535582,2022-07-27,MAIA Biotechnology Inc,IPO,Live,United States,2022-07-21,5.00,5.80,5.22,3.97,10.00 ,42.08,52.08,Nasdaq,Common Stock,Negotiated Sale|Firm Commitment,7.50,North America,Americas,Healthcare,Pharmaceuticals & Medical Research,ThinkEquity Partners,United States Of America (North America)
154087535553,2022-06-15,Feutune Light Acquisition Corp,IPO,Live,United States,2022-04-08,10.00,9.99,9.96,NA,97.25 ,24.44,89.54,Nasdaq,Units,Firm Commitment|Negotiated Sale,2.00,North America,Americas,Financials,Investment Holding Companies,"US Tiger Securities Inc|EF Hutton|Tiger Brokers|Joseph Gunnar & Co., LLC",United States Of America (North America)
154087599780,2022-06-15,"Heart Test Laboratories, Inc",IPO,Live,United States,2022-06-10,4.25,2.42,1.78,1.39,6.38 ,14.13,20.50,Nasdaq,Units,Negotiated Sale|Firm Commitment,8.00,North America,Americas,Healthcare,Pharmaceuticals & Medical Research,Benchmark Co LLC,United States Of America (North America)
154087503952,2022-06-09,Acri Capital Acquisition Corp,IPO,Live,United States,2022-03-11,10.00,9.96,9.99,NA,86.25 ,21.56,107.81,Nasdaq,Units,Firm Commitment|Negotiated Sale,2.00,North America,Americas,Financials,Investment Holding Companies,"EF Hutton|Tiger Brokers|US Tiger Securities Inc|Joseph Gunnar & Co., LLC",United States Of America (North America)
154087391128,2022-06-07,Phoenix Motor Inc,IPO,Live,United States,2022-06-07,8.00,NA,NA,NA,16.80 ,140.00,156.80,Nasdaq,Common Stock,Firm Commitment|Negotiated Sale,7.00,North America,Americas,Consumer Cyclicals,Automobiles & Auto Parts,Prime Number Capital LLC|Revere Securities Corp|WestPark Capital Inc,United States Of America (North America)
154087379750,2022-05-12,ProFrac Holding Corp,IPO,Live,United States,2022-05-11,18.00,17.99,17.33,22.66,328.11 ,NA,NA,Nasdaq,Class A Common Shares,Firm Commitment|Negotiated Sale,6.50,North America,Americas,Energy,Energy - Fossil Fuels,JP Morgan Securities LLC|Piper Sandler & Co|Morgan Stanley & Co LLC|BofA Securities Inc|Capital One Securities Inc|Seaport Global Holdings LLC|Stifel Nicolaus & Co Inc|Johnson Rice & Co,United States Of America (North America)
154087462243,2022-05-12,Prime Number Acquisition I Corp,IPO,Live,United States,2022-02-01,10.00,9.93,9.97,10.00,64.50 ,17.25,81.75,Nasdaq,Units,Negotiated Sale|Firm Commitment,2.00,North America,Americas,Financials,Investment Holding Companies,Prime Number Capital LLC|WestPark Capital Inc|US Tiger Securities Inc|Ingalls & Snyder|Dawson James Securities,United States Of America (North America)
154087546383,2022-05-12,Actelis Networks Inc,IPO,Live,United States,2022-05-12,4.00,1.95,1.51,1.36,15.00 ,52.53,67.53,Nasdaq,Common Stock,Negotiated Sale|Firm Commitment,1.75,North America,Americas,Technology,Technology Equipment,Boustead Securities LLC,United States Of America (North America)
154087484416,2022-05-10,Hanover Bancorp Inc,IPO,Live,United States,2022-05-04,21.00,21.53,21.50,21.13,30.79 ,122.42,153.21,Nasdaq,Common Stock,Negotiated Sale|Firm Commitment,6.50,North America,Americas,Financials,Banking & Investment Services,Stephens Inc|Piper Sandler & Co,United States Of America (North America)
154087557581,2022-05-10,Monterey Capital Acquisition Corp,IPO,Live,United States,2022-05-10,10.00,9.95,9.94,9.97,92.00 ,28.75,120.75,Nasdaq,Units,Negotiated Sale|Firm Commitment,0.10,North America,Americas,Financials,Investment Holding Companies,"EF Hutton|US Tiger Securities Inc|Tiger Brokers|Joseph Gunnar & Co., LLC",United States Of America (North America)
154087555223,2022-05-09,Global Blockchain Acquisition Corp,IPO,Live,United States,2022-04-20,10.00,9.97,9.92,9.94,172.50 ,43.13,215.63,Nasdaq,Units,Negotiated Sale|Firm Commitment,2.00,North America,Americas,Financials,Investment Holding Companies,I-Bankers Securities Inc|Dawson James Securities|Ladenburg Thalmann & Co,United States Of America (North America)
154087356651,2022-05-05,Edible Garden AG Inc,IPO,Live,United States,2022-05-05,5.00,2.60,1.83,1.74,14.65 ,25.40,40.05,Nasdaq,Common Stock,Negotiated Sale|Firm Commitment,7.00,North America,Americas,Consumer Non-Cyclicals,Food & Beverages,"Maxim Group LLC|Joseph Gunnar & Co., LLC",United States Of America (North America)
154087422914,2022-05-05,Cartesian Growth Corp Ii,IPO,Live,United States,2022-04-28,10.00,9.99,9.97,9.94,230.00 ,57.50,287.50,Nasdaq,Units,Negotiated Sale|Firm Commitment,2.00,North America,Americas,Financials,Investment Holding Companies,Cantor Fitzgerald & Co|Piper Sandler & Co,United States Of America (North America)
154087548866,2022-05-05,PepGen Inc,IPO,Live,United States,2022-05-05,12.00,11.90,11.73,10.58,108.00 ,12.62,120.62,Nasdaq,Common Stock,Negotiated Sale|Firm Commitment,7.00,North America,Americas,Healthcare,Pharmaceuticals & Medical Research,"BofA Securities Inc|SVB Leerink LLC|Stifel Nicolaus & Co Inc|Wedbush Securities, Inc.",United States Of America (North America)
154087532354,2022-04-28,HilleVax Inc,IPO,Live,United States,2022-04-28,17.00,20.06,15.47,9.58,230.01 ,156.83,386.84,Nasdaq,Common Stock,Firm Commitment|Negotiated Sale,7.00,North America,Americas,Healthcare,Pharmaceuticals & Medical Research,JP Morgan Securities LLC|SVB Leerink LLC|Stifel Nicolaus & Co Inc|Guggenheim Securities LLC,United States Of America (North America)
154087559767,2022-04-27,RA Special Acquisition Corp,IPO,Live,United States,2022-04-27,10.00,NA,NA,NA,230.00 ,82.50,312.50,EuronextAM,Units,Firm Commitment|Offer for Subscription,2.00,North America,Americas,Financials,Investment Holding Companies,Goldman Sachs International,Netherlands (Europe)|Europe|United States Of America (North America)|Asia|Rest Of The World
154087367486,2022-04-26,Tenon Medical Inc,IPO,Live,United States,2022-04-07,5.00,24.04,34.56,3.14,16.00 ,4.95,56.18,Nasdaq,Common Stock,Firm Commitment|Negotiated Sale,7.00,North America,Americas,Healthcare,Healthcare Services & Equipment,Benchmark Co LLC|Valuable Capital Ltd,United States Of America (North America)
154087521156,2022-04-25,Aimfinity Investment Corp I,IPO,Live,United States,2022-03-25,10.00,9.98,9.99,NA,80.50 ,20.13,92.00,Nasdaq,Units,Negotiated Sale|Firm Commitment,2.00,North America,Americas,Financials,Investment Holding Companies,"US Tiger Securities Inc|EF Hutton|Tiger Brokers|Joseph Gunnar & Co., LLC",United States Of America (North America)
154087494965,2022-04-21,Aclarion Inc,IPO,Live,United States,2022-04-01,4.35,2.55,2.07,1.78,9.42 ,22.54,31.95,Nasdaq,Common Stock,Negotiated Sale|Firm Commitment,8.00,North America,Americas,Healthcare,Pharmaceuticals & Medical Research,Maxim Group LLC,United States Of America (North America)
154087501041,2022-04-19,Yotta Acquisition Corp,IPO,Live,United States,2022-04-11,10.00,10.05,10.04,9.95,115.00 ,287.50,1281.35,Nasdaq,Units,Firm Commitment|Negotiated Sale,2.00,North America,Americas,Financials,Investment Holding Companies,Chardan Capital Markets LLC|B Riley Securities Inc,United States Of America (North America)
154087512996,2022-04-13,Sharps Technology Inc,IPO,Live,United States,2022-03-18,4.25,1.73,1.75,1.20,15.94 ,22.05,37.98,Nasdaq,Units,Firm Commitment|Negotiated Sale,8.00,North America,Americas,Healthcare,Healthcare Services & Equipment,Aegis Capital Corp.,United States Of America (North America)
154087438173,2022-04-12,Excelerate Energy Inc,IPO,Live,United States,2022-04-04,24.00,28.00,25.68,24.06,384.00 ,NA,NA,New York Stock Exchange,Class A Common Shares,Firm Commitment|Negotiated Sale,5.75,North America,Americas,Industrials,Transportation,"Barclays Capital Inc|JP Morgan Securities LLC|Morgan Stanley & Co LLC|Wells Fargo Securities LLC|SMBC Nikko Securities America Inc|Raymond James & Associates Inc|Stephens Inc|Tudor Pickering Holt & Co LLC|BOK Financial Securities, Inc",United States Of America (North America)
154087490440,2022-04-06,Denali Capital Acquisition Corp,IPO,Live,United States,2022-02-28,10.00,10.01,10.03,NA,82.50 ,21.56,104.06,Nasdaq,Units,Firm Commitment|Negotiated Sale,2.00,North America,Americas,Financials,Investment Holding Companies,"US Tiger Securities Inc|EF Hutton|Tiger Brokers|Joseph Gunnar & Co., LLC",United States Of America (North America)
154087337980,2022-03-31,Metal Sky Star Acquisition Corp,IPO,Live,United States,2021-10-14,10.00,10.02,10.02,10.07,115.00 ,28.75,143.75,Nasdaq,Units,Negotiated Sale|Firm Commitment,2.00,North America,Americas,Financials,Investment Holding Companies,Ladenburg Thalmann & Co,United States Of America (North America)
154087489135,2022-03-31,Sierra Nevada Gold Inc,IPO,Live,United States,2022-03-10,0.37,0.36,0.32,0.35,7.50 ,10.90,20.97,Australia,Depositary Receipts,Offer for Subscription,6.00,North America,Americas,Basic Materials,Mineral Resources,Bell Potter Securities Ltd,New Zealand (Australia Or New Zealand)|Australia (Australia Or New Zealand)|Asia|Hong Kong (Asia)|Europe|United Kingdom (Europe)|United States Of America (North America)|Rest Of The World
154087500141,2022-03-30,Redwoods Acquisition Corp,IPO,Live,United States,2022-03-09,10.00,10.06,10.04,10.10,115.00 ,28.75,143.75,Nasdaq,Units,Negotiated Sale|Firm Commitment,2.50,North America,Americas,Financials,Investment Holding Companies,Chardan Capital Markets LLC|B Riley Securities Inc,United States Of America (North America)
154087496327,2022-03-24,AN2 Therapeutics Inc,IPO,Live,United States,2022-03-21,15.00,15.38,15.79,14.57,79.35 ,90.14,169.49,Nasdaq,Common Stock,Firm Commitment|Negotiated Sale,7.00,North America,Americas,Healthcare,Pharmaceuticals & Medical Research,Cowen & Co|SVB Leerink LLC|Evercore Group|Oppenheimer & Co Inc,United States Of America (North America)
154087213353,2022-03-16,Goldenstone Acquisition Ltd,IPO,Live,United States,2021-06-21,10.00,9.99,10.00,10.12,57.50 ,14.38,71.88,Nasdaq,Units,Firm Commitment|Negotiated Sale,2.50,North America,Americas,Financials,Investment Holding Companies,Maxim Group LLC,United States Of America (North America)
154087373281,2022-03-10,Nubia Brand International Corp,IPO,Live,United States,2022-03-08,10.00,9.98,9.98,10.00,123.50 ,28.75,152.25,Nasdaq,Units,Negotiated Sale|Firm Commitment,2.00,North America,Americas,Financials,Investment Holding Companies,"EF Hutton|Tiger Brokers|US Tiger Securities Inc|Joseph Gunnar & Co., LLC",United States Of America (North America)
154087459514,2022-03-08,Lakeshore Acquisition II Corp,IPO,Live,United States,2022-01-28,10.00,9.99,10.02,9.99,69.00 ,17.25,86.25,Nasdaq,Units,Firm Commitment|Negotiated Sale,2.00,North America,Americas,Financials,Investment Holding Companies,"Network 1 Financial Securities, Inc.|Maxim Group LLC",United States Of America (North America)
154087451037,2022-03-01,Kensington Capital Acquisition Corp IV,IPO,Live,United States,2022-01-20,10.00,10.00,10.00,10.01,230.00 ,98.57,328.57,New York Stock Exchange,Units,Firm Commitment|Negotiated Sale,2.00,North America,Americas,Financials,Investment Holding Companies,UBS Securities LLC|Stifel Nicolaus & Co Inc|Robert W Baird & Co Inc|Drexel Hamilton LLC,United States Of America (North America)
154087457748,2022-03-01,Sound Point Acquisition Corp I,IPO,Live,United States,2022-02-18,10.00,10.05,10.05,NA,258.75 ,64.69,323.44,Nasdaq,Units,Firm Commitment|Negotiated Sale,2.00,North America,Americas,Financials,Investment Holding Companies,BofA Securities Inc|JP Morgan Securities LLC|Amerivet Securities Inc|SPC Capital Markets LLC,United States Of America (North America)
154087449403,2022-02-28,Valuence Merger Corp I,IPO,Live,United States,2022-01-19,10.00,10.03,10.03,10.03,220.10 ,57.50,277.60,Nasdaq,Units,Negotiated Sale|Firm Commitment,2.00,North America,Americas,Financials,Investment Holding Companies,SVB Leerink LLC|Robert W Baird & Co Inc,United States Of America (North America)
154087452511,2022-02-25,FG Merger Corp,IPO,Live,United States,2022-01-21,10.00,9.98,10.02,10.01,80.50 ,20.13,100.63,Nasdaq,Units,Firm Commitment|Negotiated Sale,1.07,North America,Americas,Financials,Investment Holding Companies,ThinkEquity Partners,United States Of America (North America)
154087431946,2022-02-24,GSR II Meteora Acquisition Corp,IPO,Live,United States,2022-01-03,10.00,10.00,10.01,10.10,316.25 ,63.25,379.50,Nasdaq,Units,Negotiated Sale|Firm Commitment,2.00,North America,Americas,Financials,Investment Holding Companies,Oppenheimer & Co Inc,United States Of America (North America)
154087460488,2022-02-24,Cohen & Steers Real Estate Opportunities & Income Fund,IPO,Live,United States,2022-01-28,20.00,19.98,19.86,19.85,305.00 ,NA,NA,New York Stock Exchange,Common Stock,Firm Commitment|Negotiated Sale,3.00,North America,Americas,Financials,Collective Investments,"BofA Securities Inc|Morgan Stanley & Co LLC|Raymond James & Associates Inc|Wells Fargo Securities LLC|Oppenheimer & Co Inc|RBC Capital Markets LLC|Rockefeller Securities Group, Inc.|Stifel Nicolaus & Co Inc|Aegis Capital Corp.|Alexander Capital LP|B Riley Securities Inc|Brookline Capital Markets|DA Davidson & Co Inc|Drexel Hamilton LLC|GMS Group Inc.|Hennion & Walsh, Inc|Hilltop Securities Inc|InspereX LLC|Janney Montgomery Scott LLC|JonesTrading Institutional Services LLC|Pershing LLC|Wedbush Securities, Inc.",United States Of America (North America)
154087377950,2022-02-23,Clean Earth Acquisitions Corp,IPO,Live,United States,2022-02-23,10.00,10.00,10.01,10.02,230.00 ,76.67,274.67,Nasdaq,Units,Negotiated Sale|Firm Commitment,2.00,North America,Americas,Financials,Investment Holding Companies,Citigroup Global Markets Inc|JonesTrading Institutional Services LLC,United States Of America (North America)
154087332509,2022-02-17,Blue Water Vaccines Inc,IPO,Live,United States,2021-11-29,9.00,56.97,44.35,39.90,20.00 ,19.55,39.55,Nasdaq,Common Stock,Firm Commitment|Negotiated Sale,8.00,North America,Americas,Healthcare,Pharmaceuticals & Medical Research,Boustead Securities LLC,United States Of America (North America)
154087430820,2022-02-17,Powerup Acquisition Corp,IPO,Live,United States,2021-12-29,10.00,10.01,10.00,10.05,287.50 ,64.69,352.19,Nasdaq,Units,Firm Commitment|Negotiated Sale,2.00,North America,Americas,Financials,Investment Holding Companies,Citigroup Global Markets Inc|Odeon Capital Group LLC,United States Of America (North America)
154087416642,2022-02-16,Smart for Life Inc,IPO,Live,United States,2021-12-16,10.00,NA,NA,NA,14.40 ,139.27,153.67,Nasdaq,Units,Firm Commitment|Negotiated Sale,9.00,North America,Americas,Healthcare,Pharmaceuticals & Medical Research,Dawson James Securities|I-Bankers Securities Inc,United States Of America (North America)
154087423316,2022-02-15,Future Tech Ii Acquisition Corp,IPO,Live,United States,2022-02-15,10.00,10.00,10.00,NA,115.00 ,28.75,143.75,Nasdaq,Units,Negotiated Sale|Firm Commitment,2.00,North America,Americas,Financials,Investment Holding Companies,"EF Hutton|Tiger Brokers|US Tiger Securities Inc|Joseph Gunnar & Co., LLC",United States Of America (North America)
154087457278,2022-02-15,AXIOS Sustainable Growth Acquisition Corp,IPO,Live,United States,2022-02-07,10.00,10.15,10.13,NA,172.50 ,35.94,208.44,New York Stock Exchange,Units,Negotiated Sale|Firm Commitment,2.00,North America,Americas,Financials,Investment Holding Companies,I-Bankers Securities Inc|BTIG LLC,United States Of America (North America)
154087047292,2022-02-10,HNR Acquisition Corp,IPO,Live,United States,2022-02-07,10.00,10.00,NA,NA,86.25 ,28.75,115.00,New York Stock Exchange,Units,Firm Commitment|Negotiated Sale,2.00,North America,Americas,Financials,Investment Holding Companies,EF Hutton,United States Of America (North America)
154087349224,2022-02-10,Jaguar Global Growth Corp I,IPO,Live,United States,2022-01-28,10.00,10.04,10.06,10.04,230.00 ,76.67,306.67,Nasdaq,Units,Firm Commitment|Negotiated Sale,2.00,North America,Americas,Financials,Investment Holding Companies,Citigroup Global Markets Inc|Barclays Capital Inc,United States Of America (North America)
154087371364,2022-02-10,Direct Digital Holdings Inc,IPO,Live,United States,2022-02-10,5.50,2.67,NA,NA,17.71 ,NA,77.98,Nasdaq,Class A Common Shares,Negotiated Sale|Firm Commitment,7.00,North America,Americas,Technology,Software & IT Services,Roth Capital Partners Inc|Benchmark Co LLC,United States Of America (North America)
154087421224,2022-02-10,SQL Technologies Corp,IPO,Live,United States,2022-01-24,14.00,11.80,12.39,12.34,23.10 ,1048.04,1071.14,Nasdaq,Common Stock,Negotiated Sale|Firm Commitment,7.00,North America,Americas,Industrials,Industrial Goods,Benchmark Co LLC,United States Of America (North America)
154087436032,2022-02-10,Signal Hill Acquisition Corp,IPO,Live,United States,2022-01-06,10.00,9.99,9.96,9.99,115.00 ,28.75,143.75,Nasdaq,Units,Firm Commitment|Negotiated Sale,NA,North America,Americas,Financials,Investment Holding Companies,B Riley Securities Inc,United States Of America (North America)
154087443039,2022-02-10,Relativity Acquisition Corp,IPO,Live,United States,2022-01-28,10.00,NA,NA,NA,143.75 ,35.94,179.69,Nasdaq,Units,Negotiated Sale|Firm Commitment,1.00,North America,Americas,Financials,Investment Holding Companies,Alliance Global Partners|Brookline Capital Markets|Benchmark Co LLC,United States Of America (North America)
154087419807,2022-02-08,Counter Press Acquisition Corp,IPO,Live,United States,2021-12-20,10.00,10.03,10.05,10.17,86.25 ,21.95,75.00,Nasdaq,Units,Firm Commitment|Negotiated Sale,2.00,North America,Americas,Financials,Investment Holding Companies,BTIG LLC|Earlybirdcapital Inc,United States Of America (North America)
154087417367,2022-02-07,Aurora Technology Acquisition Corp,IPO,Live,United States,2022-02-07,10.00,10.03,10.00,NA,202.00 ,57.50,259.50,Nasdaq,Units,Firm Commitment|Negotiated Sale,2.00,North America,Americas,Financials,Investment Holding Companies,Maxim Group LLC|Ladenburg Thalmann & Co,United States Of America (North America)
154087329346,2022-02-04,Nuvectis Pharma Inc,IPO,Live,United States,2021-11-30,5.00,7.95,6.94,7.53,18.40 ,47.59,65.99,Nasdaq,Common Stock,Firm Commitment|Negotiated Sale,7.00,North America,Americas,Healthcare,Pharmaceuticals & Medical Research,HC Wainwright & Co Inc,United States Of America (North America)
154087213699,2022-02-03,Silver Spike Investment Corp,IPO,Live,United States,2022-02-01,14.00,14.00,14.21,14.05,87.00 ,NA,NA,Nasdaq,Common Stock,Firm Commitment|Negotiated Sale,6.00,North America,Americas,Financials,Collective Investments,Stifel Nicolaus & Co Inc|Piper Sandler & Co|Cantor Fitzgerald & Co|Canaccord Genuity LLC,United States Of America (North America)
154087256332,2022-02-03,Kimbell Tiger Acquisition Corp,IPO,Live,United States,2022-01-28,10.00,10.07,10.08,10.06,230.00 ,57.53,287.53,New York Stock Exchange,Units,Firm Commitment|Negotiated Sale,2.00,North America,Americas,Financials,Investment Holding Companies,UBS Securities LLC,United States Of America (North America)
154087445629,2022-02-03,Arcellx Inc,IPO,Live,United States,2022-01-31,15.00,17.84,17.00,18.00,142.31 ,2088.28,2230.59,Nasdaq,Common Stock,Firm Commitment|Negotiated Sale,7.00,North America,Americas,Healthcare,Pharmaceuticals & Medical Research,BofA Securities Inc|SVB Leerink LLC|Barclays Capital Inc|William Blair & Co,United States Of America (North America)
154087459922,2022-02-02,Murphy Canyon Acquisition Corp,IPO,Live,United States,2022-02-02,10.00,10.05,10.03,10.05,132.25 ,33.06,165.31,Nasdaq,Units,Firm Commitment|Negotiated Sale,2.00,North America,Americas,Financials,Investment Holding Companies,Alliance Global Partners|Benchmark Co LLC,United States Of America (North America)
154087406896,2022-01-31,Blue World Acquisition Corp,IPO,Live,United States,2022-01-31,10.00,10.03,10.00,10.02,92.00 ,23.00,115.00,Nasdaq,Units,Firm Commitment|Negotiated Sale,2.00,North America,Americas,Financials,Investment Holding Companies,Maxim Group LLC,United States Of America (North America)
154087443062,2022-01-31,Alset Capital Acquisition Corp,IPO,Live,United States,2022-01-31,10.00,9.96,9.98,9.97,86.25 ,18.75,105.00,Nasdaq,Units,Firm Commitment|Negotiated Sale,2.00,North America,Americas,Financials,Investment Holding Companies,"EF Hutton|Tiger Brokers|US Tiger Securities Inc|Joseph Gunnar & Co., LLC",United States Of America (North America)
154087458147,2022-01-26,PIMCO Access Income Fund,IPO,Live,United States,2022-01-26,20.00,NA,NA,NA,866.00 ,2.00,868.00,New York Stock Exchange,Common Stock,Negotiated Sale|Firm Commitment,2.60,North America,Americas,Financials,Collective Investments,"BofA Securities Inc|Morgan Stanley & Co LLC|UBS Securities LLC|Wells Fargo Securities LLC|RBC Capital Markets LLC|Stifel Nicolaus & Co Inc|B Riley Securities Inc|Brookline Capital Markets|Drexel Hamilton LLC|GMS Group|Hilltop Securities Inc|InspereX LLC|Janney Montgomery Scott LLC|Pershing LLC|Wedbush Securities, Inc.|Oppenheimer & Co Inc|Rockefeller Capital Management|Aegis Capital Corp.|Laidlaw Global Securities, Inc.|Alexander Capital LP|Alliance Global Partners|American Veterans Group PBC|Amerivet Securities Inc|DA Davidson & Co Inc|Hennion & Walsh, Inc|Huntleigh Securities Corporation|Ladenburg Thalmann & Co|Maxim Group LLC|Newbridge Securities|Northland Securities Inc|Synovus Securities Inc|WestPark Capital Inc",United States Of America (North America)
154087299356,2022-01-24,Fgi Industries Ltd,IPO,Live,United States,2022-01-03,6.00,3.75,4.80,3.17,15.00 ,42.00,57.00,Nasdaq,Ordinary Shares,Negotiated Sale|Firm Commitment,7.00,North America,Americas,Consumer Cyclicals,Retailers,Benchmark Co LLC|Northland Securities Inc,United States Of America (North America)
154087383460,2022-01-24,Latamgrowth Spac,IPO,Live,United States,2022-01-24,10.00,9.99,10.00,9.96,130.00 ,37.38,167.38,Nasdaq,Units,Negotiated Sale|Firm Commitment,2.00,North America,Americas,Financials,Investment Holding Companies,BofA Securities Inc|Banco BTG Pactual SA,United States Of America (North America)
154087398957,2022-01-24,Keyarch Acquisition Corp,IPO,Live,United States,2021-12-03,10.00,9.97,10.00,9.96,115.00 ,30.75,145.75,Nasdaq,Units,Firm Commitment|Negotiated Sale,2.00,North America,Americas,Financials,Investment Holding Companies,Earlybirdcapital Inc|Haitong International Securities Co Ltd|Revere Securities Corp,United States Of America (North America)
154087093356,2022-01-20,HCM Acquisition Corp,IPO,Live,United States,2022-01-13,10.00,10.00,10.00,9.98,287.50 ,100.63,388.13,Nasdaq,Units,Negotiated Sale|Firm Commitment,2.00,North America,Americas,Financials,Investment Holding Companies,Cantor Fitzgerald & Co,United States Of America (North America)
154087385026,2022-01-20,Heartland Media Acquisition Corp,IPO,Live,United States,2022-01-18,10.00,10.00,10.02,NA,192.47 ,57.50,249.97,New York Stock Exchange,Units,Firm Commitment|Negotiated Sale,2.00,North America,Americas,Financials,Investment Holding Companies,BofA Securities Inc|Moelis & Co,United States Of America (North America)
